Neighborhood,Postalcode
Adelaide,M5H
Agincourt,M1S
Agincourt North,M1V 
Agincourt South-Malvern West,M1B
Albion Gardens,M9V
Alderwood,M8W
Annex,M5R
Banbury-Don Mills,M3B
Bathurst Manor,M3H
Bathurst Quay,M5V
Bay Street Corridor,M5G
Bayview Village,M2K
Bayview Woods-Steeles,M2H
Beaumond Heights,M9V 
Bedford Park,M5M 
Bedford Park-Nortown,M5M
Beechborough-Greenbrook,M5V
Bendale,M1J
Berczy Park,M5E
Birch Cliff,M1N
Birchcliffe-Cliffside,M1N
Black Creek,M3N
Blake-Jones,M4J
Bloordale Gardens,M9C
Briar Hill-Belgravia,M6A
Bridle Path-Sunnybrook-York Mills,M2L
Broadview North,M4J
Brockton,M6K
Brookhaven-Amesbury,M6M
Cabbagetown,M4X 
Cabbagetown-South St.James Town,M4X
Caledonia Fairbanks,M6E
Caledonia-Fairbank,M6E
Casa Loma,M4V
Cedarbrae,M1H
Centennial Scarborough,M1C
Central Bay Street,M5G
Chinatown,M5T
Christie,M6G
Church and Wellesley,M4Y
Church-Yonge Corridor,M5B
Clairlea,M1L
Clairlea-Birchmount,M1L
Clanton Park,M3H
Clarks Corners,M1T
Cliffcrest,M1M
Cliffside,M1M
Cliffside West,M1N
Cloverdale,M9B
CN Tower,M5V
Commerce Court,M5L
Corso Italia-Davenport,M6E
Danforth,M4C
Danforth East York,M4J
Davisville,M4S 
Davisville North,M4P
Deer Park ,M4V
Del Ray,M6M
Design Exchange,M5K
Don Mills,M3B
Don Valley Village,M2J
Dorset Park,M1P
Dovercourt Village,M6H
Dovercourt-Wallace Emerson-Junction,M6H
Downsview,M3M
Downsview North,M3H
Downsview-Roding-CFB,M3K
Dufferin,M6H
Dufferin Grove,M6H
East Birchmount Park,M1K
East End-Danforth,M4E
East Toronto,M4J
Edenbridge-Humber Valley,M9A
Eglinton East,M1J
Elms-Old Rexdale,M9W
Emery,M9M
Englemount-Lawrence,M5N
Eringate,M9C
Eringate-Centennial-West Deane,M9C
Etobicoke West Mall,M9C
Exhibition Place,M6K
Fairview,M2J
First Canadian Place,M5X
Flemingdon Park,M3C
Forest Hill North,M5N
Forest Hill North & West,M5P
Forest Hill Road Park,M5P
Forest Hill SE,M4V
Forest Hill South,M4V
Garden District,M5B
Glencairn,M6B
Glenfield-Jane Heights,M3L
Golden Mile,M1L
Grange Park,M5T
Greenwood-Coxwell,M4L
Guildwood,M1E
Guildwood,M1E
Harbord,M5S
Harbourfront,M5A
Harbourfront East,M5J
Harbourfront West ,M5V
Henry Farm,M2J
High Park,M6P
